Organ,Organ_ID,FTU Label in Uberon,FTU ID in Uberon,CT in CL,CT Label in CL,CT ID in CL,CT Label in 2D Object,#AS,#CT
Small Intestine,http://purl.obolibrary.org/obo/UBERON_0002108,Intestinal Villus,UBERON:0001213,eosinophils,eosinophil,CL:0000771,Eosinophil,0,4
Small Intestine,http://purl.obolibrary.org/obo/UBERON_0002108,Intestinal Villus,UBERON:0001213,ILCs,innate lymphoid cell,CL:0001065,Innate Lymphoid Cell,0,26
Small Intestine,http://purl.obolibrary.org/obo/UBERON_0002108,Intestinal Villus,UBERON:0001213,endocrine,endocrine cell,CL:0000163,Endocrine Cell,0,2
Small Intestine,http://purl.obolibrary.org/obo/UBERON_0002108,Intestinal Villus,UBERON:0001213,neutrophils,neutrophil,CL:0000775,Neutrophil,0,4
Spleen,http://purl.obolibrary.org/obo/UBERON_0002106,Red Pulp,UBERON:0001250,Monocytes,"CD14-positive, CD16-low monocyte",CL:0001055,CD14 Positive,0,5
Spleen,http://purl.obolibrary.org/obo/UBERON_0002106,Red Pulp,UBERON:0001250,Follicular Dendritic Cell (FDC),follicular dendritic cell,CL:0000442,Follicular Dendritic Cell,0,7
Spleen,http://purl.obolibrary.org/obo/UBERON_0002106,Red Pulp,UBERON:0001250,Plasmablast,plasmablast,CL:0000980,plasmablast,0,3
Spleen,http://purl.obolibrary.org/obo/UBERON_0002106,Red Pulp,UBERON:0001250,,neutrophil,CL:0000775,Neutrophil,0,5
Spleen,http://purl.obolibrary.org/obo/UBERON_0002106,Red Pulp,UBERON:0001250,Tingible Body Macrophage,splenic tingible body macrophage,CL:0000877,Splenic Tingible Body Macrophage,0,6
Spleen,http://purl.obolibrary.org/obo/UBERON_0002106,Red Pulp,UBERON:0001250,,splenic marginal zone macrophage,CL:0000872,Splenic Marginal Zone Macrophage,0,2
Spleen,http://purl.obolibrary.org/obo/UBERON_0002106,Red Pulp,UBERON:0001250,Macrophage,splenic red pulp macrophage,CL:0000874,Splenic Red Pulp Macrophage,0,12
Spleen,http://purl.obolibrary.org/obo/UBERON_0002106,Red Pulp,UBERON:0001250,Dendritic Cell,"dendritic cell, human",CL:0001056,Dendritic Cell,0,8
Spleen,http://purl.obolibrary.org/obo/UBERON_0002106,Red Pulp,UBERON:0001250,Hematopoetic Stem Cell,hematopoetic stem cell,CL:0000037,Hematopoetic Stem Cell,0,9
Spleen,http://purl.obolibrary.org/obo/UBERON_0002106,Red Pulp,UBERON:0001250,,reticular cell of splenic sinusoid,,Reticular Cell Of Splenic Sinusoid,0,31
Spleen,http://purl.obolibrary.org/obo/UBERON_0002106,White Pulp,UBERON:0001959,Macrophage,splenic white pulp macrophage,CL:0000876,Splenic Marginal Zone Macrophage,0,19
Spleen,http://purl.obolibrary.org/obo/UBERON_0002106,White Pulp,UBERON:0001959,,,,T Cells Outer Pals,0,94
Spleen,http://purl.obolibrary.org/obo/UBERON_0002106,White Pulp,UBERON:0001959,,,,T Cells Inner Pals,0,385
Spleen,http://purl.obolibrary.org/obo/UBERON_0002106,White Pulp,UBERON:0001959,,smooth muscle cell,CL:0000192,Smooth Muscle Cell,0,11
Spleen,http://purl.obolibrary.org/obo/UBERON_0002106,White Pulp,UBERON:0001959,Splenic endothelial cell,splenic endothelial cell,CL:2000053,Splenic Endothelial Cell,0,21
Spleen,http://purl.obolibrary.org/obo/UBERON_0002106,White Pulp,UBERON:0001959,Splenic Stromal Cell (non-FRC/non-FDC),stromal cell,CL:0000499,Stromal Cell,0,6
Spleen,http://purl.obolibrary.org/obo/UBERON_0002106,White Pulp,UBERON:0001959,Red Pulp Reticular Cell,reticular cell of splenic cord,CL:1000489,Reticular Cell Of Splenic Cord,0,7
Spleen,http://purl.obolibrary.org/obo/UBERON_0002106,White Pulp,UBERON:0001959,Monocytes,"CD14-positive, CD16-low monocyte",CL:0001055,CD14 Positive,0,2
Spleen,http://purl.obolibrary.org/obo/UBERON_0002106,White Pulp,UBERON:0001959,Follicular Dendritic Cell (FDC),follicular dendritic cell,CL:0000442,Follicular Dendritic Cell,0,7
Spleen,http://purl.obolibrary.org/obo/UBERON_0002106,White Pulp,UBERON:0001959,Plasmablast,plasmablast,CL:0000980,Plasmablast,0,3
Spleen,http://purl.obolibrary.org/obo/UBERON_0002106,White Pulp,UBERON:0001959,,neutrophil,CL:0000775,Neutrophil,0,3
Thymus,http://purl.obolibrary.org/obo/UBERON_0002370,Thymus Lobule,UBERON:0002125,double positive thymocyte,"double-positive, alpha-beta thymocyte",CL:0000809,Double Positive Alpha Beta Thymocyte,0,170
Thymus,http://purl.obolibrary.org/obo/UBERON_0002370,Thymus Lobule,UBERON:0002125,,thymus subcapsular epithelium,UBERON:0006936,Subcapsular Thymocytes,92,0
Thymus,http://purl.obolibrary.org/obo/UBERON_0002370,Thymus Lobule,UBERON:0002125,plasmacytoid dendritic cell,thymic plasmacytoid dendritic cell,CL:0000942,Thymic Plasmacytoid Dendritic Cell,0,5
Thymus,http://purl.obolibrary.org/obo/UBERON_0002370,Thymus Lobule,UBERON:0002125,blood endothelial cell,blood vessel endothelial cell,CL:0000071,Blood Vessel Endothelial Cell,0,15
Thymus,http://purl.obolibrary.org/obo/UBERON_0002370,Thymus Lobule,UBERON:0002125,macrophage,thymic cortical macrophage,CL:0000883,Thymic Cortical Macrophage,0,4
Thymus,http://purl.obolibrary.org/obo/UBERON_0002370,Thymus Lobule,UBERON:0002125,subcapsular cortical epithelial cell,subcapsular cortical epithelial cell,CL:0009077,Subcapsular Cortical Epithelial Cell,0,11
Thymus,http://purl.obolibrary.org/obo/UBERON_0002370,Thymus Lobule,UBERON:0002125,beige adipocyte,beige adipocyte,CL:0001070,Beige Adipocyte,0,2
Thymus,http://purl.obolibrary.org/obo/UBERON_0002370,Thymus Lobule,UBERON:0002125,,T cell,CL:0000084,T Cells,0,29
Thymus,http://purl.obolibrary.org/obo/UBERON_0002370,Thymus Lobule,UBERON:0002125,,,,Medullary Thymocytes,0,123
